longitude,latitude,track_id,class_name,confidence,reliability,accuracy_meters,detection_count,first_frame,last_frame,duration_frames,estimated_distance_m
-58.66957594065155,-34.66185344975636,81362,Led-150,0.8,0.988,1.0,0,0,100,100,25.0
-58.66953983929623,-34.661826866513586,81868,Led-150,0.8,0.975,1.0,0,0,100,100,25.0
-58.66955122451256,-34.66186231650228,81880,Led-150,0.8,0.982,1.0,1,0,100,100,25.0
-58.669557581794024,-34.66186292555298,81913,Led-240,0.8,0.999,1.0,1,0,100,100,25.0
-58.66953960125465,-34.661835127667224,82033,Led-240,0.8,0.985,1.0,0,0,100,100,25.0
-58.66952020073758,-34.66184256780549,82463,Led-240,0.8,0.99,1.0,0,0,100,100,25.0
-58.669516887656535,-34.66184243116059,82523,Led-240,0.8,0.987,1.0,0,0,100,100,25.0
-58.66951709523275,-34.661874958814934,82617,Led-240,0.8,0.968,1.0,1,0,100,100,25.0
-58.66951344816519,-34.66187553608156,82706,Led-150,0.8,0.985,1.0,0,0,100,100,25.0
-58.66949523493805,-34.66183978685918,82718,Led-150,0.8,0.987,1.0,0,0,100,100,25.0
-58.66949956821759,-34.661810488440736,82828,Led-150,0.8,0.959,1.0,0,0,100,100,25.0
-58.669477258368936,-34.66178199436504,83088,Led-150,0.8,0.964,1.0,0,0,100,100,25.0
-58.66948712902614,-34.66181613483842,83192,Led-150,0.8,0.977,1.0,0,0,100,100,25.0
-58.66947308744974,-34.66184826827114,83317,Led-240,0.8,0.985,1.0,0,0,100,100,25.0
-58.669514013838366,-34.661833457280295,84735,Led-240,0.8,0.9,1.2,0,0,100,100,25.0
-58.6695168869514,-34.66182996566723,84753,Led-240,0.8,0.974,1.0,0,0,100,100,25.0
-58.66939271061522,-34.661947394477465,86447,Led-240,0.8,0.987,1.0,0,0,100,100,25.0
-58.66940397031706,-34.66195697084875,86660,Led-150,0.8,0.981,1.0,0,0,100,100,25.0
-58.6693868148314,-34.66198006921301,87512,Led-150,0.8,1.0,1.0,1,0,100,100,25.0
-58.66937590932527,-34.662006038475795,88443,Led-240,0.8,0.981,1.0,1,0,100,100,25.0
-58.669366722990574,-34.66202601696764,89255,Led-240,0.8,0.987,1.0,0,0,100,100,25.0
-58.66935554610292,-34.66205337243286,90212,Led-150,0.8,1.0,1.0,0,0,100,100,25.0
-58.66933350462705,-34.66209505424576,91570,Led-150,0.8,0.987,1.0,0,0,100,100,25.0
-58.66932775230888,-34.662108920235845,92008,Led-150,0.8,1.0,1.0,0,0,100,100,25.0
-58.66929600052625,-34.66212975308242,93362,Led-150,0.8,0.989,1.0,0,0,100,100,25.0
-58.669294923369385,-34.662132568588554,93478,Led-150,0.8,0.98,1.0,0,0,100,100,25.0
-58.66929244198944,-34.662135644611936,93744,Led-150,0.8,0.988,1.0,0,0,100,100,25.0
-58.66929504851795,-34.66214199311547,93992,Led-150,0.8,1.0,1.0,1,0,100,100,25.0
-58.66928878398478,-34.662139203568344,94157,Led-240,0.8,0.981,1.0,0,0,100,100,25.0
